index,pos_x,pos_y,pos_z,quat_w,quat_x,quat_y,quat_z,arm_sh0,arm_sh1,arm_el0,arm_el1,arm_wr0,arm_wr1,arm_f1x
35,-0.15000000596046448,0.2222222238779068,0.0,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,2.6744823455810547,-0.5239196419715881,1.7731784582138062,-0.4909931421279907,1.8325999975204468,-0.1498899608850479,0.0
50,-0.061111122369766235,-0.4000000059604645,0.0,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-2.293566942214966,-0.46332648396492004,1.6223095655441284,0.8911424875259399,1.8325999975204468,0.3167095482349396,0.0
55,-0.061111122369766235,-0.31111112236976624,0.0,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-2.4193432331085205,-0.5571314096450806,1.848556399345398,0.7419079542160034,1.779199242591858,0.18741291761398315,0.0
56,-0.061111122369766235,-0.31111112236976624,0.10000000149011612,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-2.4170548915863037,-0.8091374039649963,1.9550820589065552,-2.3691534996032715,-1.8325999975204468,-2.846755027770996,0.0
60,-0.061111122369766235,-0.2222222238779068,0.0,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-2.5798888206481934,-0.6207927465438843,2.0223028659820557,0.5682151913642883,1.7138772010803223,0.09078765660524368,0.0
61,-0.061111122369766235,-0.2222222238779068,0.10000000149011612,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-2.5781641006469727,-0.9001052975654602,2.13218092918396,0.5894936919212341,1.8325999975204468,0.18589603900909424,0.0
81,-0.061111122369766235,0.13333334028720856,0.10000000149011612,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,2.780449867248535,-0.9645231366157532,2.253020763397217,-0.37471628189086914,1.8325999975204468,-0.10214735567569733,0.0
85,-0.061111122369766235,0.2222222238779068,0.0,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,2.5798897743225098,-0.6207870841026306,2.0223000049591064,-0.5682201981544495,1.7138818502426147,-0.09078846126794815,0.0
86,-0.061111122369766235,0.2222222238779068,0.10000000149011612,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,2.578174114227295,-0.8990940451622009,2.1316564083099365,-0.5895490050315857,1.8325999975204468,-0.18526926636695862,0.0
90,-0.061111122369766235,0.31111112236976624,0.0,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,2.419343948364258,-0.5571243166923523,1.848549723625183,-0.7419074177742004,1.779199481010437,-0.18742282688617706,0.0
91,-0.061111122369766235,0.31111112236976624,0.10000000149011612,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,2.415360450744629,-0.8148674368858337,1.960645079612732,-0.7727282047271729,1.8325999975204468,-0.2961161732673645,0.0
95,-0.061111122369766235,0.4000000059604645,0.0,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,2.2935822010040283,-0.4633576571941376,1.6223410367965698,-0.8908050656318665,1.8325999975204468,-0.31664687395095825,0.0
96,-0.061111122369766235,0.4000000059604645,0.10000000149011612,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,2.289050579071045,-0.6978586912155151,1.7297894954681396,-0.9223551154136658,1.8325999975204468,-0.42862969636917114,0.0
100,0.0277777761220932,-0.4000000059604645,0.0,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-2.154552936553955,-0.5452940464019775,1.8184378147125244,1.0075287818908691,1.7331507205963135,0.2505929470062256,0.0
101,0.0277777761220932,-0.4000000059604645,0.10000000149011612,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-2.154557943344116,-0.7982267141342163,1.9185163974761963,1.0343221426010132,1.8131577968597412,0.38359344005584717,0.0
102,0.0277777761220932,-0.4000000059604645,0.20000000298023224,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-2.1480982303619385,-1.0194562673568726,1.952353835105896,1.0861551761627197,1.8325999975204468,0.5606193542480469,0.0
105,0.0277777761220932,-0.31111112236976624,0.0,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-2.2748758792877197,-0.6301737427711487,2.0502939224243164,0.8723344802856445,1.6681185960769653,0.11521003395318985,0.0
106,0.0277777761220932,-0.31111112236976624,0.10000000149011612,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-2.2748770713806152,-0.9174755215644836,2.1560795307159424,0.8943108916282654,1.7835050821304321,0.2571246325969696,0.0
110,0.0277777761220932,-0.2222222238779068,0.0,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-2.4423184394836426,-0.6835250854492188,2.2349650859832764,0.6993693709373474,1.5856069326400757,0.012462003156542778,0.0
111,0.0277777761220932,-0.2222222238779068,0.10000000149011612,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-2.442323684692383,-1.0126804113388062,2.350775718688965,0.7127586007118225,1.7482141256332397,0.15137441456317902,0.0
131,0.0277777761220932,0.13333334028720856,0.10000000149011612,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,2.6742501258850098,-1.081215500831604,2.4959380626678467,-0.47227779030799866,1.7100224494934082,-0.07077294588088989,0.0
135,0.0277777761220932,0.2222222238779068,0.0,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,2.4423229694366455,-0.6835243105888367,2.2349648475646973,-0.6993647813796997,1.5856091976165771,-0.012457529082894325,0.0
136,0.0277777761220932,0.2222222238779068,0.10000000149011612,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,2.4423208236694336,-1.0126813650131226,2.3507754802703857,-0.7127608060836792,1.7482142448425293,-0.15137863159179688,0.0
140,0.0277777761220932,0.31111112236976624,0.0,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,2.274876832962036,-0.6301726698875427,2.050292491912842,-0.8723344802856445,1.668119192123413,-0.11520972102880478,0.0
141,0.0277777761220932,0.31111112236976624,0.10000000149011612,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,2.2748749256134033,-0.9174777269363403,2.1560821533203125,-0.8943172097206116,1.7835021018981934,-0.2571219801902771,0.0
145,0.0277777761220932,0.4000000059604645,0.0,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,2.1545569896698,-0.5452961921691895,1.8184387683868408,-1.0075314044952393,1.7331547737121582,-0.2505826950073242,0.0
146,0.0277777761220932,0.4000000059604645,0.10000000149011612,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,2.1545562744140625,-0.798222005367279,1.9185138940811157,-1.0343194007873535,1.81315016746521,-0.3835863471031189,0.0
147,0.0277777761220932,0.4000000059604645,0.20000000298023224,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,2.149747133255005,-1.0208516120910645,1.9517755508422852,-1.0960025787353516,1.8325999975204468,-0.5621940493583679,0.0
150,0.11666665971279144,-0.4000000059604645,0.0,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-1.9839057922363281,-0.5991592407226562,1.9605402946472168,1.1657509803771973,1.6543523073196411,0.1922495812177658,0.0
151,0.11666665971279144,-0.4000000059604645,0.10000000149011612,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-1.9839036464691162,-0.871254563331604,2.063354730606079,1.1840332746505737,1.719767451286316,0.34946876764297485,0.0
152,0.11666665971279144,-0.4000000059604645,0.20000000298023224,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-1.9839071035385132,-1.1159545183181763,2.092207193374634,1.2224849462509155,1.7976096868515015,0.5544701814651489,0.0
153,0.11666665971279144,-0.4000000059604645,0.30000001192092896,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-1.9765009880065918,-1.3080699443817139,2.0477797985076904,1.2893790006637573,1.8325999975204468,0.7893905639648438,0.0
155,0.11666665971279144,-0.31111112236976624,0.0,6.123234262925839e-17,-1.0,-6.123234262925839e-17,-6.123234262925839e-17,-2.0840017795562744,-0.6751255393028259,2.2014057636260986,1.0580143928527832,1.5926463603973389,0.03878582641482353,0.0
